2024-02-07 14:56:24,248 [main] INFO  marytts.main Mary starting up...
2024-02-07 14:56:24,256 [main] INFO  marytts.main Specification version 5.0
2024-02-07 14:56:24,256 [main] INFO  marytts.main Implementation version unknown
2024-02-07 14:56:24,256 [main] INFO  marytts.main Running on a Java 19.0.2 implementation by Amazon.com Inc., on a Windows 11 platform (amd64, 10.0)
2024-02-07 14:56:24,459 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JTokeniser'
2024-02-07 14:56:24,472 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Preprocess'
2024-02-07 14:56:24,473 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(de,de.pos)'
2024-02-07 14:56:24,473 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.JPhonemiser'
2024-02-07 14:56:24,476 [main] INFO  marytts.JPhonemiser_de User dictionary '.\user-dictionaries\userdict-de.txt' for locale 'de' does not exist. Ignoring.
2024-02-07 14:56:24,500 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Prosody'
2024-02-07 14:56:24,508 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.de.Postlex'
2024-02-07 14:56:24,508 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(de)'
2024-02-07 14:56:24,508 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.JTokeniser'
2024-02-07 14:56:24,508 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.FreeTTSTokenToWords'
2024-02-07 14:56:24,508 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_US.)'
2024-02-07 14:56:24,508 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_US.txt' for locale 'en_US' does not exist. Ignoring.
2024-02-07 14:56:24,549 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(en_GB.)'
2024-02-07 14:56:24,549 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-en_GB.txt' for locale 'en_GB' does not exist. Ignoring.
2024-02-07 14:56:24,594 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Prosody'
2024-02-07 14:56:24,594 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SimplePhoneme2AP(en_US)'
2024-02-07 14:56:24,594 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.Utt2XMLWordsEn'
2024-02-07 14:56:24,594 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.XML2UttTokensEn'
2024-02-07 14:56:24,602 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.en.PronunciationModel'
2024-02-07 14:56:24,602 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.OpenNLPPosTagger(en,en.pos)'
2024-02-07 14:56:24,602 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(it.)'
2024-02-07 14:56:24,627 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(it,it.)'
2024-02-07 14:56:24,627 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.ru.Tokenizer'
2024-02-07 14:56:24,627 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2024-02-07 14:56:24,627 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(ru.)'
2024-02-07 14:56:24,627 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-ru.txt' for locale 'ru' does not exist. Ignoring.
2024-02-07 14:56:24,635 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2024-02-07 14:56:24,635 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(ru,ru)'
2024-02-07 14:56:24,635 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(sv.)'
2024-02-07 14:56:24,635 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-sv.txt' for locale 'sv' does not exist. Ignoring.
2024-02-07 14:56:24,643 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(sv,sv.)'
2024-02-07 14:56:24,643 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JTokeniser'
2024-02-07 14:56:24,643 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2024-02-07 14:56:24,643 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.language.te.JPhonemiser(te.)'
2024-02-07 14:56:24,651 [main] INFO  marytts.JPhonemiser User dictionary '.\user-dictionaries\userdict-te.txt' for locale 'te' does not exist. Ignoring.
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(te,te)'
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JPhonemiser(tr.)'
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.MinimalisticPosTagger(tr,tr.)'
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.Synthesis'
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TextToMaryXML'
2024-02-07 14:56:24,651 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SableParser'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.SSMLParser'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.APMLParser'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.EmotionmlParser'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.JTokeniser'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.DummyTokens2Words'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.ProsodyGeneric'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PronunciationModel'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.TargetFeatureLister'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HalfPhoneTargetFeatureLister'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.AcousticModeller'
2024-02-07 14:56:24,659 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedAcoustparamsExtractor'
2024-02-07 14:56:24,668 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.RealisedDurationsExtractor'
2024-02-07 14:56:24,668 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.HTSEngine'
2024-02-07 14:56:24,668 [main] INFO  marytts.ModuleRegistry Now initiating mary module 'marytts.modules.PraatTextGridGenerator'
2024-02-07 14:56:24,676 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale de).
2024-02-07 14:56:24,724 [main] INFO  marytts.JTokeniser Starting power-on self test.
2024-02-07 14:56:24,732 [main] INFO  marytts.JTokeniser Power-on self test complete.
2024-02-07 14:56:24,732 [main] INFO  marytts.Preprocess Module started (TOKENS->WORDS, locale de).
2024-02-07 14:56:24,732 [main] INFO  marytts.Preprocess Starting power-on self test.
2024-02-07 14:56:24,740 [main] INFO  marytts.Preprocess Expanding say-as elements...
2024-02-07 14:56:24,740 [main] INFO  marytts.Preprocess Matching and expanding patterns...
2024-02-07 14:56:24,789 [main] INFO  marytts.Preprocess Done.
2024-02-07 14:56:24,789 [main] INFO  marytts.Preprocess Power-on self test complete.
2024-02-07 14:56:24,789 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale de).
2024-02-07 14:56:25,133 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,133 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,141 [main] INFO  marytts.JPhonemiser_de Module started (PARTSOFSPEECH->PHONEMES, locale de).
2024-02-07 14:56:25,149 [main] INFO  marytts.JPhonemiser_de Starting power-on self test.
2024-02-07 14:56:25,149 [main] INFO  marytts.JPhonemiser_de Power-on self test complete.
2024-02-07 14:56:25,158 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale de).
2024-02-07 14:56:25,158 [main] INFO  marytts.Prosody Starting power-on self test.
2024-02-07 14:56:25,158 [main] INFO  marytts.Prosody Power-on self test complete.
2024-02-07 14:56:25,158 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale de).
2024-02-07 14:56:25,158 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2024-02-07 14:56:25,158 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2024-02-07 14:56:25,158 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale de).
2024-02-07 14:56:25,158 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2024-02-07 14:56:25,158 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2024-02-07 14:56:25,158 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale en).
2024-02-07 14:56:25,174 [main] INFO  marytts.JTokeniser Starting power-on self test.
2024-02-07 14:56:25,174 [main] INFO  marytts.JTokeniser Power-on self test complete.
2024-02-07 14:56:25,174 [main] INFO  marytts.TokenToWords Module started (FREETTS_TOKENS->FREETTS_WORDS, locale en).
2024-02-07 14:56:25,174 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2024-02-07 14:56:25,182 [main] INFO  marytts.FreeTTSVoices done.
2024-02-07 14:56:25,198 [main] INFO  marytts.TokenToWords Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.TokenToWords Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_US).
2024-02-07 14:56:25,198 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale en_GB).
2024-02-07 14:56:25,198 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale en).
2024-02-07 14:56:25,198 [main] INFO  marytts.Prosody Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.Prosody Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.SimplePhoneme2AP Module started (SIMPLEPHONEMES->ACOUSTPARAMS, locale en_US).
2024-02-07 14:56:25,198 [main] INFO  marytts.SimplePhoneme2AP Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.SimplePhoneme2AP Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.Utt2XML WordsEn Module started (FREETTS_WORDS->WORDS, locale en).
2024-02-07 14:56:25,198 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2024-02-07 14:56:25,198 [main] INFO  marytts.FreeTTSVoices done.
2024-02-07 14:56:25,198 [main] INFO  marytts.Utt2XML WordsEn Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.Utt2XML WordsEn Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.XML2Utt TokensEn Module started (TOKENS->FREETTS_TOKENS, locale en).
2024-02-07 14:56:25,198 [main] INFO  marytts.FreeTTSVoices Loading US English FreeTTS voices...
2024-02-07 14:56:25,198 [main] INFO  marytts.FreeTTSVoices done.
2024-02-07 14:56:25,198 [main] INFO  marytts.XML2Utt TokensEn Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.XML2Utt TokensEn Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.PronunciationModel Module started (INTONATION->ALLOPHONES, locale en).
2024-02-07 14:56:25,198 [main] INFO  marytts.PronunciationModel Starting power-on self test.
2024-02-07 14:56:25,198 [main] INFO  marytts.PronunciationModel Power-on self test complete.
2024-02-07 14:56:25,198 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale en).
2024-02-07 14:56:25,638 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,638 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,638 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale it).
2024-02-07 14:56:25,638 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,638 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,638 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale it).
2024-02-07 14:56:25,646 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,646 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,646 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale ru).
2024-02-07 14:56:25,654 [main] INFO  marytts.JTokeniser Starting power-on self test.
2024-02-07 14:56:25,654 [main] INFO  marytts.JTokeniser Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2024-02-07 14:56:25,662 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2024-02-07 14:56:25,662 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale ru).
2024-02-07 14:56:25,662 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,662 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2024-02-07 14:56:25,662 [main] INFO  marytts.Prosody Starting power-on self test.
2024-02-07 14:56:25,662 [main] INFO  marytts.Prosody Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale ru).
2024-02-07 14:56:25,662 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,662 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale sv).
2024-02-07 14:56:25,662 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,662 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale sv).
2024-02-07 14:56:25,662 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,662 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,662 [main] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale te).
2024-02-07 14:56:25,678 [main] INFO  marytts.JTokeniser Starting power-on self test.
2024-02-07 14:56:25,678 [main] INFO  marytts.JTokeniser Power-on self test complete.
2024-02-07 14:56:25,678 [main] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2024-02-07 14:56:25,678 [main] INFO  marytts.DummyTokens2Words Starting power-on self test.
2024-02-07 14:56:25,678 [main] INFO  marytts.DummyTokens2Words Power-on self test complete.
2024-02-07 14:56:25,678 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale te).
2024-02-07 14:56:25,678 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,678 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,678 [main] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2024-02-07 14:56:25,678 [main] INFO  marytts.Prosody Starting power-on self test.
2024-02-07 14:56:25,678 [main] INFO  marytts.Prosody Power-on self test complete.
2024-02-07 14:56:25,686 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale te).
2024-02-07 14:56:25,687 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,687 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,687 [main] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale tr).
2024-02-07 14:56:25,687 [main] INFO  marytts.JPhonemiser Starting power-on self test.
2024-02-07 14:56:25,687 [main] INFO  marytts.JPhonemiser Power-on self test complete.
2024-02-07 14:56:25,687 [main] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale tr).
2024-02-07 14:56:25,687 [main] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2024-02-07 14:56:25,687 [main] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2024-02-07 14:56:25,687 [main] INFO  marytts.UnitSelectionSynthesizer started.
2024-02-07 14:56:25,687 [main] INFO  marytts.TargetFeatureLister Module started (ACOUSTPARAMS->TARGETFEATURES, locale null).
2024-02-07 14:56:25,687 [main] INFO  marytts.HTSEngine Module started (TARGETFEATURES->AUDIO, locale null).
2024-02-07 14:56:25,719 [main] INFO  marytts.HMMData Loading Tree Set in CARTs:
2024-02-07 14:56:25,768 [main] INFO  marytts.HMMData Loading GV Model Set:
2024-02-07 14:56:25,890 [main] INFO  marytts.Voice Registering voice `cmu-slt-hsmm': female, locale en_US
2024-02-07 14:56:25,906 [main] INFO  marytts.Voice New default voice for locale en_US: cmu-slt-hsmm (desire 0)
2024-02-07 14:56:25,906 [main] INFO  marytts.HMMSynthesizer started.
2024-02-07 14:56:25,906 [main] INFO  marytts.Synthesis Module started (ACOUSTPARAMS->AUDIO, locale null).
2024-02-07 14:56:25,906 [main] INFO  marytts.HMMSynthesizer Starting power-on self test.
2024-02-07 14:56:25,922 [main] INFO  marytts.HTSEngine Using prosody from acoustparams.
2024-02-07 14:56:25,930 [main] INFO  marytts.HTSEngine Number of models in sentence numModel=7  Total number of states numState=35
2024-02-07 14:56:25,930 [main] INFO  marytts.HTSEngine Total number of frames=147  Number of voiced frames=89
2024-02-07 14:56:25,938 [main] INFO  marytts.ParameterGeneration Parameter generation for MGC: 
2024-02-07 14:56:25,938 [main] INFO  marytts.PStream Context-dependent global variance optimization: gvLength = 107
2024-02-07 14:56:25,938 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=23
2024-02-07 14:56:25,938 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=54
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=47
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=20
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=13
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=21
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=7
2024-02-07 14:56:25,947 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=4
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=11
2024-02-07 14:56:25,955 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=19
